Word,Meaning,Example_EN,Example_CN
categorical,???,a categorical statement/reply/assurance,???????????
caucus,???,,
causal,????,Is there a causal relationship between violence on television and violent behaviour?,??????????????????
celestial,??,The moon is a celestial body,?????????
centrifugal,???,centrifugal force,???
centripetal,???,centripetal force,???
champion,???,She has long been a champion of prisoners' rights/the disabled/free speech,?????????????????????????????
chasten,??/??,He was chastened by the defeat and determined to work harder,?????????????????
chivalry/chivalric,????,the age of chivalry,????
clairvoyant,??,She went to see a clairvoyant who said he could communicate with her dead husband,???????????????????????
clamor,????/??,The children were all clamouring for attention,?????????????
clique,???,Our golf club is run by a very unfriendly clique (of people),?????????????????????????
cloister,??,,
coagulate,??,The sauce coagulated as it cooled down,????????
coalesce,??,The answer will come out if you coalesce these three equations,???????????????????
coda,??,The coda is often more technically difficult than the rest of the piece,???????????????????????
codify,????,,
cognizant,????,We should be cognizant of the fact that every complaint is not a justified complaint,???????????????????
collage,???,The children made a collage of postcards,??????????????
commensurate,???,a salary that is commensurate with skills and experience,???????????
complacent,???,a complacent smile/attitude,??????????
complaisant,???,She carried on passionate love affairs with the consent of her complaisant husband,?????????????????????
complement,??,Strawberries and cream complement each other perfectly,??????????
compliant,???,a compliant child,?????
concave,??,a concave lens,???
conciliatory,?????,a conciliatory gesture/remark,???????/??
concoct,??(??/??),He concocted a story about working late at the office,????????????????
concomitant,??????,Loss of memory is a natural concomitant of old age,??????????????
confound,???,An elderly man from Hull has confounded doctors by recovering after he was officially declared dead,????????????????????????????????
connoisseur,??,a wine/art connoisseur,?????????
conscript,??,He was conscripted into the army at the age of 18,?18??????
consecrate,????,The new cathedral was completed and consecrated in 2002,??????2002??????
contiguous,???,"The two states are contiguous with/to each other, but the laws are quite different",?????????????????
continence,??(?),He believes that instead of sex education we should promote sexual continence among the young,????????????????????????
contrite,???,a contrite apology/expression,????????
contumacious,?????,The court has the power to apply sanctions for contumacious conduct,??????????????????
conundrum,??,Arranging childcare over the school holidays can be a real conundrum for working parents,????????????????????????????
convention,??,,
converge,??,The paths all converge at the main gate of the park,??????????????
convex,??,a convex lens/mirror,???????
convivial,???,a convivial atmosphere/host,???????????
copious,???,They drank copious amounts of wine,???????
coquette,???????,,
cornucopia,??,The table held a veritable cornucopia of every kind of food or drink you could want,????????????????
cosmology,???,,
covert,???,The government was accused of covert military operations against the regime,?????????????????????
cozen,??,In college he learned how to cozen his parents into thinking he remained a good Catholic,?????????????????????????????
credence,??,I'm not prepared to give credence to anonymous complaints,???????????
credo,??,,
daunt,???/??,She was not at all daunted by the size of the problem,???????????????
dearth,??,a dearth of new homes in the region,?????????
default,??,People who default on their mortgage repayments may have their home repossessed,?????????????????????
delineate,??,The main characters are clearly delineated in the first chapter,?????????????????
demographic,???,There have been monumental social and demographic changes in the country,????????????????????
demotic,????,"Walt Whitman is considered by many to be a quintessentially American poet, a poet who celebrated the glory of the ordinary person; one critic praised him as a poet who was able to ?make the demotic sing?",
denigrate,??,You shouldn't denigrate people just because they have different beliefs from you,????????????????
denizen,??,Deer and squirrels are among the denizens of the forest,??????????????
denouement,??,The book tells the story of what was for Europe a rather embarrassing denouement to the Crusades,
plethora,??,There's a plethora of books about the royal family,?????????
pragmatic,???,"In business, the pragmatic approach to problems is often more successful than an idealistic one",?????????????????????????
pristine,???,pristine new offices,??????
prodigal,??/???,There have been rumours that he has been prodigal with company funds,???????????????
proliferate,??,Small businesses have proliferated in the last ten years,????????????????
propriety,??/???,She was careful always to behave with propriety / The director insisted that there was no question as to the propriety of how the funds were raised,????????? / ???????????????
prudence,??,The firm was commended for its financial prudence,????/????????????
rarefy,????/??,The primordial cosmic soup is full of sound waves compressing and rarefying matter and light,?????????????????????
soporific,???,the soporific effect of the heat,?????????
stigma,??,There is no longer any stigma to being divorced,????????????
stolid,???/????,"He's a very stolid, serious man",???????????????
sublime,??/??/???,The book has sublime descriptive passages / He possesses sublime self-confidence,???????????????? / ??????
tacit,????,tacit agreement/approval/support,??????????
torpor,???,,
transitory,???,the transitory nature of life,?????????
veracity,??,Doubts were cast on the veracity of her alibi,????????????????
whimsical,????/????,a whimsical tale,?????
derivative,???/???,His painting/style is very derivative,???????????????
desuetude,??,,
deterrent,???,Tougher prison sentences may act/serve as a deterrent to other would-be offenders,????????????????????
detraction,??,,
diaphanous,?????,,
dichotomy,????,There is often a dichotomy between what politicians say and what they do,??????????????
diffuse,??,Television is a powerful means of diffusing knowledge,????????????
digression,??,Talking about money now would be a digression from the main purpose of this meeting,??????????????????
discerning,????,a discerning customer,??????
discomfit,???,,
discordant,???,,
discredit,?????/????,Evidence of links with drug dealers has discredited the mayor,???????????????????
discrepancy,??,There is some discrepancy between the two accounts,????????????
discretion,???,Students can be expelled at the discretion of the principal (= if the principal decides it),????????
disinterested,??/???,a disinterested observer/judgment / a piece of disinterested advice,????????? / ???????
disjointed,?????,The script was disjointed and hard to follow,????????????????
dismiss,???/??,I think he'd dismissed me as an idiot within five minutes of meeting me,??????????????????????
disseminate,??,One of the organization's aims is to disseminate information about the disease,?????????????????????
dissolution,??/??,the dissolution of parliament / the dissolution of their marriage,????? / ?????????
distend,??,In the refugee centres we saw many children whose stomachs were distended because of lack of food,???????????????????????????
distill,??,Some strong alcoholic drinks such as whisky are made by distilling,??????????????
distrait,?????,,
diverge,??,"They walked along the road together until they reached the village, but then their paths diverged",?????????????????????
divest,??,The company is divesting its less profitable business operations,???????????????
divulge,??,Journalists do not divulge their sources,???????????
doggerel ,???,,
dormant,???,The long-dormant volcano has recently shown signs of erupting,???????????????????
dross,??,So much of what's on TV is pure dross,?????????
effervescence,??/??,People love her for her effervescence and quick wit,???????????
effete,?????,With nothing to do all day the aristocracy had grown effete and lazy,?????????????????????
effrontery,????,He was silent all through the meal and then had the effrontery to complain that I looked bored!,?????????????????????????????????
egotistic,???,,
elicit,??(??/??),Have you managed to elicit a response from them yet?,?????????????
elixir,????,It's yet another health product claiming to be the elixir of life/youth (= something to make you live longer/stay young).,?????????????????????????????????
Elysian,?????,the Elysian fields of the next world,????
emaciated,??/???,There were pictures of emaciated children on the cover of the magazine,??????????????????
embellish,??,The ceiling was embellished with flowers and leaves,??????????
emollient,???/???,an emollient mood/tone,?????????????
empirical,?????,This theory needs to be backed up with solid empirical data/evidence,?????????????????????
endemic,????/???,The disease is endemic among British sheep/to many British flocks,????????????????????
entomology,???,,
enunciate,?????,He doesn't enunciate (his words) very clearly,????????????
epistemology,???,,
equanimity,??/??,He received the news of his mother's death with remarkable equanimity,??????????????????
errant,???,an errant husband,?????
essay,??,The procedure was first essayed in 1923,1923???????????
ethnocentric,??????,,
etiology/aetiology,???,,
etymology,???,At university she developed an interest in etymology,??????????????
eugenics,???,"Eugenics was the central, and most controversial, part of his social philosophy",???????????????????????????
euphoria,??,They were in a state of euphoria for days after they won the prize,?????????????????
euthanasia,???,"Although some people campaign for the right to euthanasia, it is still illegal in most countries",?????????????????????????????????????
evince,??,They have never evinced any readiness or ability to negotiate,?????????????????
exact,??/??,Heart surgery exacts tremendous skill and concentration,???????????????????????
execrable,???,"Some critics praised the acting, but all condemned the execrable plot",?????????????????????????????????????
existential,?????,an existential argument/philosopher,???????/???
exorcise,??/??(????),It will take a long time to exorcise the memory of the accident,?????????????????
expatriate,????,The new leaders expatriated the ruling family,??????????????
galvanize,??/???/??,Western charities were galvanized by TV pictures of starving people,????????????????????????????????
importunate,???,an importunate beggar/crowd,???????????
campestral,???,,
adept,???/???,She's very adept at dealing with the media,?????????
explicate,????,This is a book which clearly explicates Marx's later writings,????????????????
expository,???,expository writing,???
extant,???,We have some extant parish records from the 16th century,???????16??????????
extemporaneous,???,an extemporaneous speech,????
extraneous,???,These questions are extraneous to the issue being discussed,??????????????
extrapolation,??,The assumption involves considerable extrapolation,?????????
extrinsic,???,Extrinsic forces were responsible for the breakdown of the peace talks,?????????????
facilitate,??/???,The new ramp will facilitate the entry of wheelchairs,????????????
factotum,????,He became a sort of general factotum for the band,?????????????????????
fallow,???,Farmers are eligible for government support if they let a certain amount of land lie fallow,????????????????????????
fauna,???,"While she was in Hawaii, she studied the local flora and fauna",???????????????????
felicitous,???,He summed up Jack's achievements in one or two felicitous phrases,????????????????????
feral,???,feral dogs/cats,????
fiat,??,No company can set industry standards by fiat,??????????????????
fidelity,??,How important do you think sexual fidelity is in a marriage?,?????????????????
filibuster,???????,"Conceivably, supporters of the law could filibuster to prevent it from being revised",??????????????????????????
finesse,????/??,She finessed the interview by playing down her lack of experience and talking about her long-standing interest in the field,??????????????????????????????????????????????
flag,????,I was starting to flag after the ninth mile,???????????????
flora,???,the flora of the Balearic Islands,??????????
flourish,??/??,,
flux,?????,Our plans are in a state of flux at the moment,???????????????
forbearance,??,He thanked his employees for the forbearance (that) they had shown during the company's difficult times,????????????????????????
forestall,????,The company executives forestalled criticism by inviting union leaders to meet,?????????????????????
formidable,???,a formidable obstacle/task,??????????
forswear,????,to forswear all violence,??????????
founder,??/??,"The ferry foundered in a heavy storm, taking many of the passengers and crew with it / Teaching computers to read and write has always foundered on the unpredictable human element in language",??????????????????????? / ?????????????????????????????
fracas,????/??,He was injured in a Saturday-night fracas outside a disco,????????????????????????
fractious,??/???,a fractious child,?????
fresco,??,Michelangelo's famous frescoes are in the Sistine Chapel,??????????????????????
frieze,????,,
froward,???,,
fulminate,????,I had to listen to Michael fulminating against the government,????????????
fusion,??,"Their music is described as ""an explosive fusion of Latin American and modern jazz rhythms""",????????????????????????????
futile,????,Attempts to get supplies to the region are futile because troops will not allow the aid convoy to enter the city,???????????????????????????????
milieu,????,It is a study of the social and cultural milieu in which Michelangelo lived and worked,????????????????????????????
propagation,??,Students researched the propagation of plants at the city's botanical garden,????????????????????
decimation,????,the virtual decimation of the population through influenza,????????????????
deposit,??,"The flood waters fell, depositing mud over the whole area",??????????????????
scour,??,You'll have to scour out those old cooking pots before you use them,??????????????
eradication,??,The organization's goal is the eradication of poverty,???????????
engulf,??/??,The flames rapidly engulfed the house,???????????
expeditious,???,The bank was expeditious in replying to my letter,??????????
haphazard,????,He tackled the problem in a typically haphazard manner,????????????????????
halting,?????,"He spoke quietly, in halting English",????????????
gambol,??/??,Lambs were gambolling (about/around) in the spring sunshine,??????????????????
gauche,???,She had grown from a gauche teenager to a self-assured young woman,???????????????????????
geniality,??,"His geniality, reliability and ability made him a popular figure",????????????????
gerrymander,????,The Prime Minister tried to gerrymander the recent elections in two ways,????????????????????????????????????
glib,?????,"He's a glib, self-centred man",??????????????
goad,??/??/??,She seemed determined to goad him into a fight / The runner was goadedon by his desire to keep up with the others,?????????????? / ??????????????????
gossamer,??/???,,
gouge,?,,
grouse,??,She's always grousing about how she's been treated by the management,??????????????
guise,??,The men who arrived in the guise of drug dealers were actually undercover police officers,?????????????????
guileless,???,"She regarded him with wide, guileless blue eyes",??????????????????
gustatory,???,gustatory pleasures,????
halcyon,?????,She recalled the halcyon days of her youth,????????????
hallowed,?????,hallowed icons such as Marilyn Monroe and James Dean,???????????????????????
harrowing,?????,"For many women, the harrowing prospect of giving evidence in a rape case can be too much to bear",????????????????????????????
herbivorous,???,The iguanadon was a herbivorous dinosaur,?????????
hermetic,???,a hermetic seal,???
heterodox,????,His opinions have always been distinctly heterodo,???????????????
hirsute,???,,
homeostasis,????,Warm-blooded animals are able to achieve temperature homeostasis,??????????
homily,??,He launched into a homily on family relationships,????????????
hyperbole,???,"The blurb on the back of the book was full of the usual hyperbole - ""enthralling"", ""fascinating"", and so on",?????????????????????????????????????????
idolatry,????,The youngster makes no attempt to conceal his idolatry of his team-mate,?????????????????
igneous,???,,
imbroglio,??,The Soviet Union became anxious to withdraw its soldiers from the Afghan imbroglio,?????????????????????
immutable,?????,Some people regard grammar as an immutable set of rules,?????????????????
impair,??,A recurring knee injury may have impaired his chances of winning the tournament,?????????????????????
impassive,?????,,
impermeable,?????,an impermeable membrane,????
impinge,??/??,The government's spending limits will seriously impinge on the education budget,???????????????
implausible,????,The whole plot of the film is ridiculously implausible,????????????????
implicit,????,He interpreted her comments as an implicit criticism of the government,?????????????????
implode,??,The vacuum inside the tube caused it to implode when the external air pressure was increased,?????????????????????
imprecation,???,The old woman walked along the street muttering imprecations,????????????????
impute,??????,They imputed the error to the lawyer who was handling her case,????????????????????
inadvertently,???,He inadvertently deleted the file,?????????
incarnate,???,One survivor described his torturers as devils incarnate,????????????????????
incongruity,???,There is an incongruity between the poem?s solemn tone and its light-hearted theme,
inconsequential,????,an inconsequential matter/remark,??????????
incorporate,??,Suggestions from the survey have been incorporated into/in the final design,???????????????????
incursion,??,incursions into enemy territory,??????
indeterminate,????,An indeterminate number of workers have already been exposed to the danger,?????????????????????
ineluctable,?????,his ineluctable fate,????????
inherent,??,There are dangers/risks inherent in almost every sport,????????????????
insensible,?????,"We found her lying on the floor, drunk and insensible",????????????????????
insinuate,??,Are you insinuating (that) I'm losing my nerve?,???????????
insouciant,?????,He sometimes seems insouciant to the point of carelessness,????????????????
insularity,??/??,Their actions have led to accusations of insularity or arrogance / She dislikes the cosy insularity of the local jazz scene,??????????????????? / ???????????????????
insuperable,?????,,
intangible,?????,She has that intangible quality which you might call charisma,????????????????????????
interdict,???/??,,
internecine,???,internecine war/warfare,??
interpolate,??(??),,
intimate,???,intimate relationships,????
introspective,???,She is famous for her introspective songs about failed relationships,??????????????
inured,???,After spending some time on the island they became inured to the hardships,???????????????????????
invective,??,A stream of invective from some sectors of the press continues to assail the government,???????????????
inveigle,??,Her son tried to inveigle her into giving him the money for a car.,??????????????
inveterate,????,I never trust anything he says - the man's an inveterate liar,????????????????????
irresolute,?????,an irresolute reply,???????
itinerary,??,The tour operator will arrange transport and plan your itinerary,???????????????????
jaundiced,????/????,He seems to have/take a very jaundiced view of life,???????????
jocose,???/???,His jocose manner was unsuitable for such a solemn occasion,????????????????
juggernaut,?????????,"Some people is Britain regard American English as a juggernaut sweeping through the British Isles, destroying British English",
junta,???,The military junta has/have today broadcast an appeal for calm,?????????????????
juxtapose,??,The exhibition juxtaposes Picasso's early drawings with some of his later works,????????????????????????
kudos,??,Being an actor has a certain amount of kudos attached to it,?????????????
labile,???,emotionally labile characters,???????
lascivious,???,a lascivious smile,??
latent,???,Recent developments in the area have brought latent ethnic tension out into the open,????????????????????????????
levee,???,,
liberal,?????,a liberal society/attitude,??????????
libido,??,"Symptoms include weight gain, sleep disorders and loss of libido",???????????????????
Lilliputian,???,,
limn,?,,
limbid,???/?????,a limpid pool / limpid prose,????? / ???????
linguistic,???,I'm particularly interested in the linguistic development of young children,????????????????
litany,????,,
literati,??/??,"Her novels are popular with university literati, but they have failed to attract a wider audience",?????????????????????????????????
litigation,??,"The company has consistently denied responsibility, but it agreed to the settlement to avoid the expense of lengthy litigation",?????????????????????????????????
log,??,,
lucre,??,filthy lucre,????
lustrous,???,"long, lustrous hair",?????
Machiavellian,?????,,
machinations,??,"Despite a commitment to a more open government, the public is still being kept in the dark about the inner machinations of the Cabinet",??????????????????????????????
maelstrom,???,The country is gradually being sucked into the maelstrom of civil war,??????????????
malign,??/??/???,She has recently been maligned in the gossip columns of several newspapers / Foreign domination had a malign influence on local politics,???????????????? / ?????????????????
maverick,??????,a political maverick,??????
megalomania,???,,
menagerie,??????,,
mendicant,??,,
meretricious,?????,He claims that a lot of journalism is meretricious and superficial,????????????
mesmerize,??,I was completely mesmerized by the performance,?????????
metamorphosis,?????,"Under the new editor, the magazine has undergone a metamorphosis",????????????????????
metaphysics,????,,
meteorological,???,Accurate meteorological records began 100 years ago,?????????100??
mettle/mettlesome,??/??,The team showed/proved its mettle in the final round,?????????????????????
microcosm,????,The audience was selected to create a microcosm of American society,????????????????????????
militate,??,The complexity and costliness of the judicial system militate against justice for the individual,????????????????????????
minuscule,???,All she gave him to eat was two minuscule pieces of toast,????????????
minutia,??,,
miscellany,???,The museum houses a fascinating miscellany of nautical treasures,?????????????????????
miscreant,??,We need to discourage miscreants,??????????
misogynist,?????,She left the Church because of its misogynist teachings on women and their position in society,???????????????????????????
mnemonic,?????,"The musical notes on the lines go EGBDF - use the mnemonic ""Every good boy deserves fun""",??????? EGBDF?????????Every good boy deserves fun??????????????
modicum,??,There's not even a modicum of truth in her statement,???????????
monolithic,?????,monolithic state-run organizations,???????
motley,???,The people who turned up for the meeting were a motley crew (= a group consisting of many different types of people),????????????
multifarious,????,The newspaper report detailed the fraudster's multifarious business activities,????????????????????????
necromancy,??,,
negate,???/??,The increase in our profits has been negated by the rising costs of running the business,????????????????????
neologism,??,,
nexus,??,Times Square is the nexus of the New York subway,?????????????
nonplussed,??/?????,I was completely nonplussed by his reply,????????????
nostrum,?????????,He refused to embrace any of the fashionable nostrums then current in development economics,??????????????????????
nugatory,???/???,a nugatory amount,???????
occult,????,"She claims to have occult powers, given to her by some mysterious spirit",??????????????????
odyssey,????????,The film follows one man's odyssey to find the mother from whom he was separated at birth,????????????????????????????????
officious,?????/????,He's an officious little man and widely disliked in the company,?????????????????????????
olfactory,???,the olfactory nerve,????
oligarchy,????,,
onomatopoeia,???,,
ornithologist,????,,
overweening,???,overweening pride/arrogance/vanity,?????????????
paean,??,The song is a paean to solitude and independence,????????????
paleontology,????,,
pallid,????/????,This is a pallid production of what should be a great ballet,?????????????????????
pathological,???/?????,I've got a pathological fear of heights,?????
patois,??,the local patois,?????
paucity,??,There is a paucity of information on the ingredients of many cosmetics,??????????????????
penchant,??,a penchant for melodrama/skiing/exotic clothes,?????????????
perennial,?????,"The film ""White Christmas"" is a perennial favourite",?????????????????????
perigee,???,"The moon will be at perigee, its closest to the earth, on the 8th of the month","The moon will be at perigee, its closest to the earth, on the 8th of the month"
permeable,????,Certain types of sandstone are permeable to water,??????????
perturb,???,News of the arrest perturbed her greatly,???????????
pervasive,?????,The influence of Freud is pervasive in her books,?????????????????
phoenix,??,The town was bombed but was then rebuilt and rose from the ashes like a/the phoenix (= was just as good as before),??????????????????????
physiognomy,??,The art teacher assigned her students to make drawings of people with a wide variety of physiognomy,
piety,???,,
piquant,???/?????,More piquant details of their private life were revealed / a piquant mixture of spices,???????????????????? / ????????
placid,???,She was a very placid (= calm and not easily excited) child who slept all night and hardly ever cried,????????????????????????
platonic,???,"She knew he was attracted to her, but preferred to keep their relationship platonic",???????????????????????
plumb,???/??,"Now that she had begun, she wanted to plumb her own childhood further",????????????????????????
plummet,??,House prices have plummeted in recent months,?????????
plutocracy,????,It's time we put an end to plutocracy,?????????????
porous,???,porous soil with good drainage,?????????????
poseur,??????,You look like a real poseur in your fancy sports car!,???????????????????
prate,????,Inevitably there's some caller prating on about the decline in moral standards,??????????????????????
prattle,??,She'd have prattled on about her new job for the whole afternoon if I'd let her,??????????????????????????
preamble,???/??,The agreement between the warring parties to talk may be a preamble to peace,???????????????????
precarious,????,Many borrowers now find themselves caught in a precarious financial position,?????????????????????
precept,??,This policy goes against common precepts of decency,??????????????
preempt,??,The movie was preempted for the president?s emergency address to the nation,
prehensile,???,a prehensile tail,??????
premonition,??,"He had a premonition that his plane would crash, so he took the train",?????????????????????
presumptuous,??/???,It would be presumptuous of me to comment on the matter,???????????????
preternatural,????,"Anger gave me preternatural strength, and I managed to force the door open",????????????????????
primordial,???,The planet Jupiter contains large amounts of the primordial gas and dust out of which the solar system was formed.,???????????????????????????????
problematic,????,Getting everyone there on time might prove problematic,??????????????
profound,??/???,His mother's death when he was aged six had a very profound effect on him,????????????????
prohibitive,???????,Hotel prices in the major cities are high but not prohibitive,???????????????????
propensity,??,She's inherited from her father a propensity to talk too much,???????????????
provident,?????,,
puissant,???,The king introduced some of his most significant reforms as an advertisement of his own ever more puissant authority,?????????????????????????????
purport,??,They purport to represent the wishes of the majority of parents at the school,?????????????????????
quagmire,??,"Since the coup, the country has sunk deeper into a quagmire of violence and lawlessness",????????????????????????????
quail,??/??,Charlie quailed at the sound of his mother's angry voice,??????????????????????
qualified,????,There seems to be qualified support for the idea,??????????????
qualm,??/??,She had no qualms about lying to the police,???????????????
query,??/??,A few students have queried their marks / She queried whether three months was long enough,??????????????? / ?????????
quibble,??????,There's no point quibbling about/over a couple of dollars,???????????
quorum,????,,
raconteur,???????,He was a brilliant raconteur,????????
rail,??,He railed against/at the injustices of the system,????????????
raiment,??,,
ramification,????,Have you considered all the ramifications of your suggestion?,???????????????????
rarefied,??,the rarefied atmosphere of academia,????????
rationale,????,I don't understand the rationale for these restrictions,?????????
rebus,??,"Egyptian writing uses the principle of the rebus, substituting pictures for words",
recluse,???,He is a millionaire recluse who refuses to give interviews,?????????????????????
redoubtable,?????,Tonight he faces the most redoubtable opponent of his boxing career,???????????????????
refulgent,???,the beauty of her refulgent face,???????????????
refute,??,to refute a person/theory/argument/claim,??????????????
regale,???,The sailor regaled us all night with stories of his adventures,??????????????????
relegate,??,She resigned when she was relegated to a desk job,?????????????
reparation,??,The company had to make reparation to those who suffered ill health as a result of chemical pollution,???????????????????????????????
repine,??,"She was alone and unloved, but she did not repine",??????????????????
reprise,????,,
reproach,??,His mother reproached him for not eating all his dinner,??????????????????????
resolution,??,The United Nations passed (= voted to support) a resolution to increase aid to developing nations,?????????????????????
resolve,??/??,She resolved that she would never speak to him again,????????
reverent,????,A reverent silence fell over the crowd,???????????
rococo,???????,,
rubric,??/??,Read/Follow the rubric carefully,???????????
ruse,??,It was just a ruse to distract her while his partner took the money,?????????????????????????????
sage,???,sage advice,?????
sanction,??,They tried to get official sanction for the plans,????????????
sartorial,???,sartorial elegance,????
saturate,???,The grass had been saturated by overnight rain,?????????
saturnine,???,a saturnine character/look,???????????
satyr,???????,,
savor,??,"It was the first chocolate he'd tasted for over a year, so he savoured every mouthful",????????????????????????????
schematic,???,a schematic diagram/outline,?????
secrete,??,Saliva is a liquid secreted by glands in or near the mouth,?????????????????????
sedition,????,,
sedulous,???,It was agreed that the few students sedulous enough to read the book deserved top marks for diligence,?????????????????????????????
seismic,???,seismic activity/waves / The news that the chairman would resign set off seismic waves in the business community,???????? / ??????????????????
sensual,???,sensual pleasure,????
sensuous,???,He had a very sensuous mouth,??????????
sentient,????,It is hard for a sentient person to understand how any parents could treat their child so badly,?????????????????????????
servile,???,As a waiter you want to be pleasant to people without appearing totally servile,?????????????????????????????
sextant,???,,
shard,??,Shards of glass have been cemented into the top of the wall to stop people climbing over,??????????????????????
sidereal,???,,
simian,???,,
simile,??,,
sinecure,??,,
singular,???,It was a building of singular grace and beauty,????????????
skeptic,???????,"People say it can cure colds, but I'm a skeptic",??????????????
sobriety,??,"We had the priest sitting at our table, which instilled a little sobriety into the occasion",?????????????????????
sodden,???,The football field was absolutely sodden,????????
solicitous,???,He made a solicitous enquiry after her health,???????????????
soliloquy,??,"Hamlet's soliloquy starts ""To be or not to be""",??????????????????
solvent,??????,Many insurance companies are under pressure to increase premiums to stay solvent,????????????????????????
somatic,???/????,"Children of parents affected by post-traumatic stress disorder can become angry, depressed, and show somatic symptoms such as stomach aches or headaches",????????????????????????????????????????????????
spectrum,??,"The colours of the spectrum - red, orange, yellow, green, blue, indigo, and violet - can be seen in a rainbow",????????????????????????????
spendthrift,???,,
sporadic,?????,sporadic gunfire,?????
squalor,????,These people are forced to live in squalor,????????????????
staccato,?????,She gave staccato replies to every question,??????????????
stanch,??,,
stentorian,???,Suddenly a stentorian voice boomed across the room,?????????????????
stint,??,The bride's parents did not stint on the champagne - there was plenty for everyone,???????????????????????
stipulate,??,"She agreed to buy the car, but stipulated racing tyres and a turbo-powered engine",????????????????????????
stratified,???,The sample of people questioned was drawn from the university's student register and stratified by age and gender,???????????????????????????
striated,????,The canyon walls were striated with colour,??????????
stricture,??/??,religious/financial strictures / The strictures of the United Nations have failed to have any effect on the warring factions,????????????? / ????????????????
strut,??????,The boys strutted around trying to get the attention of a group of girls who were nearby,?????????????????????????
stupefy,????????/????,,
stygian,?????,,
subpoena,????,A friend of the victim was subpoenaed as a witness by lawyers representing the accused,???????????????????
subside,??,The police are hoping that the violence will soon subside,?????????????
substantiate,??,We have evidence to substantiate the allegations against him,????????????
substantive,???,Substantive research on the subject needs to be carried out,???????????????
subsume,????,Soldiers from many different countries have been subsumed into the United Nations peace-keeping force,????????????????????
subversive,?????,subversive elements/groups in society,???????????
succor,??,Her organization gave succour and strength to those who had been emotionally damaged,??????????????????????
suffrage,???,universal suffrage (= the right of all adults to vote),???
sundry,?????,"Sundry distant relatives, most of whom I hardly recognized, turned up for my brother's wedding",????????????????????????
supersede,??,Most of the old road has been superseded by the great interstate highways,???????????????????
supine,???,"We walked along the beach, past the rows of supine bodies soaking up the sun",??????????????????????????????
supplant,??,Printed books will soon be supplanted by e-books,????????????
suppliant/supplicant,??/???,,
supposition,??/??,That article was based on pure supposition,???????????
syllogism,???,,
sylvan/silvan,???,,
tangential,????,a tangential issue,??????????
tautology,????,,
taxonomy,???,,
tenet,??,It is a tenet of contemporary psychology that an individual's mental health is supported by having good social networks,??????????????????????????????
tenuous,????/???,The police have only found a tenuous connection between the two robberies,?????????????????????
terrestrial,???,,
theocracy,??????,,
thespian,??,,
timbre,??,"He has a wonderful singing voice, with a rich timbre and resonant tone",??????????????????
toady,???,,
tome,????,She's written several weighty tomes on the subject,??????????????
torque,???,,
tortuous,???,He took a tortuous route through back streets,??????????????????????
tractable,????,The problem turned out to be less tractable than I had expected,?????????????????
transgression,??/??,Who is supposed to have committed these transgressions?,??????????????
transient,???,A glass of whisky has only a transient warming effect,??????????????
translucent,????,translucent plastic/glass,?????????
travail,????,the recent travails of the airline industry,??????????
travesty,?????/??,"Their production of ""Sweeney Todd"" was the worst I've ever seen - it was a travesty / Langdale described the court ruling as a travesty of justice",?????????????????????????????? / ??????????????????
treatise,????,a six-volume treatise on trademark law,??????????
tremulous,???,He watched her tremulous hand reach for the teacup,???????????????
tryst,??,,
tumid,???,"He had coarse features, a blunt nose, and tumid and protruded lips",?????????????????
tutelary,???,,
uncanny,??/???,an uncanny resemblance,??????
undulating,??,The road undulates for five miles before a steep climb,??????????????????????
unfeigned,????,,
untenable,????,"If three people in four no longer support the government, isn't this an untenable situation?",????????????????????????????
usury,????,,
vacuous,??/???,,
valedictory,???,a valedictory speech,???
vapid,???/?,"a vapid reality TV show / He's attractive, but vapid",?????????? / ??????????
variegated,?????,a variegated plant,???????
vaunt,??,The local people like to vaunt the glories of their faded past,??????????????
vendetta,??/??,He saw himself as the victim of a personal vendetta being waged by his political enemies,????????????????????
vertigo,??,She can't stand heights and has always suffered from vertigo,???????????
viable,?????,"In order to make the company viable, it will unfortunately be necessary to reduce staffing levels",?????????????????????
virtuoso,??,"Famous mainly for his wonderful voice, Cole Porter was also a virtuoso on the piano",???????????????ú??????????
visage,??,She has a smiling visage,?????????
viscous,???,,
vivisection,????,,
vogue,??/??,"In the 1920s, short hair for women became the vogue",20??20????????????
warranted,???/????,"For a severe cough that lasts more than three weeks, a chest X-ray may be warranted to rule out pneumonia / They proposed recruiting an extra 50 fully warranted officers to patrol railway stations",????????????????????X???????? / ???????50?????????????
wary,???,I'm a little wary of/about giving people my address when I don't know them very well,??????????????????????
welter,?????,We are reducing the company's welter of development projects and will streamline sales and marketing,???????????????????????????????
wistful,??/???,I thought about those days in Spain and grew wistful,??????????????????????
hermit,??,,
oxymoron,?????,,
stag,????/?????,,
assailant,???,Can you describe your assailant?,?????????????
wager,??,She put a cash wager of œ50 on the race,????????50??????? 
parentage,??,The novel starts when a child of unknown parentage is left at the house of the local priest / She is of mixed Australian and Japanese parentage,???????????????????????????? / ???????????????
sanctuary,???,,
encapsulate,????,It was very difficult to encapsulate the story of the revolution in a single one-hour documentary,????????????????????????
gambit,???????/???,"Her clever opening gambit gave her an early advantage / ""I hear you're a friend of Jamie's"" was her opening gambit",????????????? / ?????????????????
